iid,id,gender,wave,round,order,position,partner,pid,dec,dec_o,match,attr,sinc,intel,fun,amb,shar,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like,prob,like_o,prob_o,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,attr3_1,sinc3_1,intel3_1,fun3_1,amb3_1,attr4_1,sinc4_1,intel4_1,fun4_1,amb4_1,shar4_1,age,age_o,race,race_o,samerace,field_cd,career_c,income,int_corr,exphappy,expnum,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga
1,1.0,0,1,10,4,7,1,11.0,1,0,0,6.0,9.0,7.0,7.0,6.0,5.0,6.0,8.0,8.0,8.0,8.0,6.0,7.0,6.0,7.0,4.0,15.0,20.0,20.0,15.0,15.0,15.0,35.0,20.0,15.0,20.0,5.0,5.0,6.0,8.0,8.0,8.0,7.0,,,,,,,21.0,27.0,4.0,2.0,0,1.0,,"69,487.00",0.14,3.0,2.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0
1,1.0,0,1,10,3,7,2,12.0,1,0,0,7.0,8.0,7.0,8.0,5.0,6.0,7.0,8.0,10.0,7.0,7.0,5.0,7.0,5.0,8.0,4.0,15.0,20.0,20.0,15.0,15.0,15.0,35.0,20.0,15.0,20.0,5.0,5.0,6.0,8.0,8.0,8.0,7.0,,,,,,,21.0,22.0,4.0,2.0,0,1.0,,"69,487.00",0.54,3.0,2.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0
1,1.0,0,1,10,10,7,3,13.0,1,1,1,5.0,8.0,9.0,8.0,5.0,7.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,,10.0,10.0,15.0,20.0,20.0,15.0,15.0,15.0,35.0,20.0,15.0,20.0,5.0,5.0,6.0,8.0,8.0,8.0,7.0,,,,,,,21.0,22.0,4.0,4.0,1,1.0,,"69,487.00",0.16,3.0,2.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0
1,1.0,0,1,10,5,7,4,14.0,1,1,1,7.0,6.0,8.0,7.0,6.0,8.0,7.0,8.0,9.0,8.0,9.0,8.0,7.0,6.0,7.0,7.0,15.0,20.0,20.0,15.0,15.0,15.0,35.0,20.0,15.0,20.0,5.0,5.0,6.0,8.0,8.0,8.0,7.0,,,,,,,21.0,23.0,4.0,2.0,0,1.0,,"69,487.00",0.61,3.0,2.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0
1,1.0,0,1,10,7,7,5,15.0,1,1,1,5.0,6.0,7.0,7.0,6.0,6.0,8.0,7.0,9.0,6.0,9.0,7.0,6.0,6.0,8.0,6.0,15.0,20.0,20.0,15.0,15.0,15.0,35.0,20.0,15.0,20.0,5.0,5.0,6.0,8.0,8.0,8.0,7.0,,,,,,,21.0,24.0,4.0,3.0,0,1.0,,"69,487.00",0.21,3.0,2.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0
1,1.0,0,1,10,6,7,6,16.0,0,1,0,4.0,9.0,7.0,4.0,6.0,4.0,7.0,7.0,8.0,8.0,7.0,7.0,6.0,5.0,7.0,6.0,15.0,20.0,20.0,15.0,15.0,15.0,35.0,20.0,15.0,20.0,5.0,5.0,6.0,8.0,8.0,8.0,7.0,,,,,,,21.0,25.0,4.0,2.0,0,1.0,,"69,487.00",0.25,3.0,2.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0
1,1.0,0,1,10,1,7,7,17.0,1,0,0,7.0,6.0,7.0,4.0,6.0,7.0,3.0,6.0,7.0,5.0,8.0,7.0,6.0,5.0,2.0,1.0,15.0,20.0,20.0,15.0,15.0,15.0,35.0,20.0,15.0,20.0,5.0,5.0,6.0,8.0,8.0,8.0,7.0,,,,,,,21.0,30.0,4.0,2.0,0,1.0,,"69,487.00",0.34,3.0,2.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0
1,1.0,0,1,10,2,7,8,18.0,0,0,0,4.0,9.0,7.0,6.0,5.0,6.0,6.0,7.0,5.0,6.0,8.0,6.0,6.0,7.0,7.0,5.0,15.0,20.0,20.0,15.0,15.0,15.0,35.0,20.0,15.0,20.0,5.0,5.0,6.0,8.0,8.0,8.0,7.0,,,,,,,21.0,27.0,4.0,2.0,0,1.0,,"69,487.00",0.5,3.0,2.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0
1,1.0,0,1,10,8,7,9,19.0,1,1,1,7.0,6.0,8.0,9.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,9.0,7.0,7.0,6.5,8.0,15.0,20.0,20.0,15.0,15.0,15.0,35.0,20.0,15.0,20.0,5.0,5.0,6.0,8.0,8.0,8.0,7.0,,,,,,,21.0,28.0,4.0,2.0,0,1.0,,"69,487.00",0.28,3.0,2.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0
1,1.0,0,1,10,9,7,10,20.0,1,0,0,5.0,6.0,6.0,8.0,10.0,8.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,15.0,20.0,20.0,15.0,15.0,15.0,35.0,20.0,15.0,20.0,5.0,5.0,6.0,8.0,8.0,8.0,7.0,,,,,,,21.0,24.0,4.0,2.0,0,1.0,,"69,487.00",-0.36,3.0,2.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0
2,2.0,0,1,10,10,3,1,11.0,0,0,0,5.0,7.0,8.0,4.0,6.0,3.0,8.0,7.0,6.0,9.0,7.0,4.0,6.0,4.0,7.0,2.0,45.0,5.0,25.0,20.0,0.0,5.0,65.0,0.0,10.0,25.0,0.0,0.0,7.0,5.0,8.0,10.0,3.0,,,,,,,24.0,27.0,2.0,2.0,1,1.0,,"65,929.00",0.29,4.0,5.0,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0
